,_id,id,author_id,created_at,text,Label
348356,6082f9a273596eb9adae69f8,1.34E+18,24589499,30/12/2020,huge news if we can get this approved world wide this is the vaccine the world has placed all their bets on with more orders then moderna and pfizer combined over 3 billion doses for next year and countries like india are planning local production to go even beyond that ,3
50502,6076b1640857f5cbcd37155a,1.33E+18,14687193,30/11/2020,a vaccine wont reverse the digital tsunami for brands ,2
333295,6081cc7d73596eb9adad6092,1.34E+18,9.90E+17,30/12/2020, so the skilled nursing facility my mom is at in oklahoma county will be receiving their vaccines when since they are in phase 1,3
82988,6076b1d10857f5cbcd38d882,1.33E+18,1.16E+18,29/11/2020,  my guess is that either they are faking the numbers or have had a vaccinecure this whole time,2
493078,6083183c73596eb9adb66c15,1.36E+18,107731410,31/01/2021,if they continue to vaccinate one percent of the population each day as they managed on saturday then we will all be vaccinated in 100 days thats three and a bit months normality by summer im sure it wont happen but i can live in hope ,3
517411,608318a773596eb9adb7cdb7,1.36E+18,8.13E+17,30/01/2021,has anybody any idea if the govt has vaccinated any migrants that have landed in the uk,0
282671,6081b7e173596eb9adaa794c,1.34E+18,432952545,31/12/2020,sir vaccine hasnt still been administered not one guest is seen wearing mask  ,2
530207,608318de73596eb9adb87e22,1.36E+18,1.14E+18,30/01/2021,  over 999 of under 70s survive covid so when over 70s and their carers vaccinated  if they want it all covid lockdowns amp restrictions must end,2
342692,6082f98b73596eb9adae1d35,1.34E+18,1171843501,31/12/2020,2 people now confirm dead shortly after receiving pfizer covid19 vaccine ,2
377586,6082fa1573596eb9adafe8aa,1.34E+18,64519735,27/12/2020,  so thats 50m but weve also got 10m of pfizer vaccine also about 15m have had disease so already have immunity and we only need about 70 of population to achieve herd immunity so seems well over the top,1
529038,608318da73596eb9adb86f56,1.36E+18,312802809,30/01/2021,aides environmental service workers all long term care nursing home staff need to be vaccinated opinion  healthcare workers do not neglect the covid19 vaccine it will save lives —including yours  the washington post ,3
304402,6081cbfb73596eb9adabc20c,1.34E+18,23924246,31/12/2020,  not good very disappointed i am surprised  and  would allow this this isnt evidence based and potentially a complete waste of vital vaccines,1
369128,6082f9f473596eb9adaf7a96,1.34E+18,8.43E+17,28/12/2020,          according to s internal vaccine production tracker only 500 million doses of mrna1273 are gonna be made in 2021 more are going to be made of pfizerbiontech but that has an actual brutal cold chain 70c,0
155799,607746f80857f5cbcd3dbf70,1.33E+18,1.31E+18,24/11/2020,tyk2 is the future of autoimmune lupus psoriasis arthritis ra covid19 coronavirus treatment sareums sdc1801 amp sdc1802 completing preclinical trials this year  smashed pfizers tofacitinib in trials  ,0
318506,6081cc4173596eb9adac95de,1.34E+18,17221430,31/12/2020,ny times covid19 vaccines are safe no matter what my uncle bobby kennedy says  cdnpoli bcpoli,3
31793,6076b1250857f5cbcd3609f1,1.33E+18,246418413,30/11/2020,  you could be right  to be honest if not having the vaccine meant i couldnt return to tango i would have it  so i am a lightweight too really or just really missing my tango family the music and the very beautiful dance,3
280863,6081b7da73596eb9adaa5f95,1.34E+18,8.36E+17,31/12/2020,moderna vaccine data efficacy and safety of the mrna1273 sarscov2 vaccine  nejm ,0
422780,6083163873596eb9adb2ac13,1.36E+18,9197832,31/01/2021,just crying in my kitchen because my parents got their first vaccine dose like one does,3
303826,6081cbf773596eb9adabb7e8,1.34E+18,30230791,31/12/2020,  i agree  he would have been reelected the stock market above 30000 the vaccines now he has to think about that the rest of his horrible life poetic justice,3
520207,608318b373596eb9adb7f534,1.36E+18,1.11E+18,30/01/2021,whatever you do dont get vaccinated its a trap ,2
520959,608318b573596eb9adb7fe15,1.36E+18,1.09E+18,30/01/2021, im more interested at what  of vaccinated politics would start a brawl about reopening the economy amp what  for herd immunity diff parties would target,0
523826,608318c373596eb9adb82675,1.36E+18,68270085,30/01/2021,has the mayor been vaccinated ,0
527893,608318d473596eb9adb85d70,1.36E+18,1.04E+18,30/01/2021, theres a lot of people i dont like and i want them vaccinated also thats how public health works except for one specific person but i only want him not vaccinated if every other single person in the world is soooooo,3
325685,6081cc5e73596eb9adacf83f,1.34E+18,635613678,31/12/2020,how to make the entire population of the earth complicit in a crime against humanity the answer is to make all people of the planet part is of cannibalism through vaccination the vaccines contain cells from human embryos  unborn children,2
397752,608315d973596eb9adb153fe,1.36E+18,63613558,31/01/2021,  and why has this happenedbecause trudeau himself pushed for vaccine procurement from a quebecchina joint venturegood for quebec good for china good for trudeauthat was the deal he wantedhe did not listen to advisors no plan bwhen his deal collapsed we were screwed,2
406269,608315f973596eb9adb1c98a,1.36E+18,169693698,31/01/2021,azinoalmo lilley canada falls behind tiny countries as vaccine supplies dwindle  toronto sun ,0
447561,6083169673596eb9adb40044,1.36E+18,516578860,31/01/2021, wait i heared that people with immune system arent allowed to take the vaccine bc it would affect them ,1
454807,608316b473596eb9adb46467,1.36E+18,392344836,31/01/2021,a great way for those of us fortunate enough to be able to afford a vaccine but even more fortunate to get it through the amazing nhs a way of supporting our fellow healthcare workers ,3
586005,60831bcd73596eb9adbbbcc9,1.36E+18,1.16E+18,30/01/2021, yes neighbor who was part of the pfizer study got a vax he was in the placebo group 75year old neighbor social media director at local hospital age 30ish 66year old friend who happened to snag a rare opening on a county web site,0
197881,6081b68273596eb9ada5d25d,1.34E+18,277513724,31/12/2020,️question am i the only human on the face of the earth who is suffering from trump rage syndrome only 2 million doses of covid vaccine administered at this rate news reports that it will take ten years to vaccinate people living in usa ️,3
